01.06.2020 21:03:17, Seconds:0, Milliseconds:557, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:18, Seconds:0, Milliseconds:586, direction:Up, mostNearElement:[23,17], False
01.06.2020 21:03:19, Seconds:0, Milliseconds:570, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:20, Seconds:0, Milliseconds:930, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:22, Seconds:0, Milliseconds:556, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:23, Seconds:0, Milliseconds:607, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:24, Seconds:0, Milliseconds:720, direction:Right, mostNearElement:[23,17], False
01.06.2020 21:03:25, Seconds:0, Milliseconds:922, direction:Right, mostNearElement:[23,17], False
01.06.2020 21:03:27, Seconds:0, Milliseconds:940, direction:Right, mostNearElement:[27,21], False
01.06.2020 21:03:29, Seconds:0, Milliseconds:885, direction:Up, mostNearElement:[23,17], False
01.06.2020 21:03:31, Seconds:0, Milliseconds:805, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:33, Seconds:0, Milliseconds:724, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:34, Seconds:0, Milliseconds:707, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:35, Seconds:0, Milliseconds:572, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:36, Seconds:0, Milliseconds:446, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:37, Seconds:0, Milliseconds:624, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:38, Seconds:0, Milliseconds:719, direction:Right, mostNearElement:[23,17], False
01.06.2020 21:03:39, Seconds:0, Milliseconds:853, direction:Right, mostNearElement:[23,17], False
01.06.2020 21:03:42, Seconds:1, Milliseconds:454, direction:Right, mostNearElement:[27,21], False
01.06.2020 21:03:44, Seconds:1, Milliseconds:161, direction:Up, mostNearElement:[23,17], False
01.06.2020 21:03:44, Seconds:0, Milliseconds:89, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:45, Seconds:0, Milliseconds:85, direction:Up, mostNearElement:[23,17], False
01.06.2020 21:03:47, Seconds:0, Milliseconds:326, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:48, Seconds:0, Milliseconds:388, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:49, Seconds:0, Milliseconds:416, direction:Left, mostNearElement:[23,17], False
01.06.2020 21:03:50, Seconds:0, Milliseconds:383, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:51, Seconds:0, Milliseconds:399, direction:Down, mostNearElement:[23,17], False
01.06.2020 21:03:52, Seconds:0, Milliseconds:518, direction:Right, mostNearElement:[23,17], False
